From,From type,To,Nature / evidence,Source URL
Mulan,vessel,Plio Energy Cargo Shipping OPC Private Limited,OFAC SDN entry: MULAN ... (Linked To: PLIO ENERGY CARGO SHIPPING OPC PRIVATE LIMITED).,https://ofac.treasury.gov/recent-actions/20240905
New Energy,vessel,Gotik Shipping Co,OFAC SDN entry: NEW ENERGY ... (Linked To: GOTIK SHIPPING CO).,https://ofac.treasury.gov/recent-actions/20240905
Limited Liability Company Arctic LNG 2,company,Gotik Shipping Co,OFAC SDN entry (2024-09-05): Gotik Shipping Co Linked To Limited Liability Company Arctic LNG 2. OFAC does not state equity ownership.,https://ofac.treasury.gov/recent-actions/20240905
Limited Liability Company Arctic LNG 2,company,Plio Energy Cargo Shipping OPC Private Limited,OFAC SDN entry (2024-09-05): Plio Energy Cargo Shipping OPC Private Limited Linked To Limited Liability Company Arctic LNG 2. OFAC does not state equity ownership.,https://ofac.treasury.gov/recent-actions/20240905
