fromCompany,toCompany,relation,confidence,note,sourceUrl
Limited Liability Company Arctic LNG 2,Gotik Shipping Co,linkedTo,reported,OFAC SDN entry (2024-09-05): Gotik Shipping Co Linked To Limited Liability Company Arctic LNG 2. OFAC does not state equity ownership.,https://ofac.treasury.gov/recent-actions/20240905
Limited Liability Company Arctic LNG 2,Plio Energy Cargo Shipping OPC Private Limited,linkedTo,reported,OFAC SDN entry (2024-09-05): Plio Energy Cargo Shipping OPC Private Limited Linked To Limited Liability Company Arctic LNG 2. OFAC does not state equity ownership.,https://ofac.treasury.gov/recent-actions/20240905
